GCM,RCP,Year,Mean,Mean5,Mean10,Variable
Historical,rcp45,1981,685.302081093572,NA,NA,Precipitation
Historical,rcp45,1982,856.1089667742899,NA,NA,Precipitation
Historical,rcp45,1983,1134.556514657882,711.3888081724141,NA,Precipitation
Historical,rcp45,1984,490.2318919012022,705.0369438638236,NA,Precipitation
Historical,rcp45,1985,390.7445864351243,636.879625195841,595.0195724520555,Precipitation
Historical,rcp45,1986,653.5427595506196,500.57152397117915,577.3321613406894,Precipitation
Historical,rcp45,1987,515.3223734343769,481.32561151436903,552.1344615552501,Precipitation
Historical,rcp45,1988,453.01600853457273,478.6503367316968,509.08576621016243,Precipitation
Historical,rcp45,1989,394.0023296171518,449.6273788175551,505.97792861626374,Precipitation
Historical,rcp45,1990,377.36821252176316,467.3892979146593,558.481034257475,Precipitation
Historical,rcp45,1991,508.42796997991104,517.6000084491458,579.8393471286938,Precipitation
Historical,rcp45,1992,604.1319689198979,530.6302457181584,583.0497363802173,Precipitation
Historical,rcp45,1993,704.0695612070049,638.3117317832531,633.002115663354,Precipitation
Historical,rcp45,1994,459.15351596221507,710.0513154398323,641.1283852763092,Precipitation
Historical,rcp45,1995,915.7756428472367,698.7101748457751,659.9237565897822,Precipitation
Historical,rcp45,1996,867.1258882628069,748.4042228775621,669.3848759808004,Precipitation
Historical,rcp45,1997,547.4262659496122,751.6265248344602,658.2071543021382,Precipitation
Historical,rcp45,1998,952.5398013659395,681.5357813963114,644.2394285897554,Precipitation
Historical,rcp45,1999,475.26502574670565,628.7184365217685,654.2055134859487,Precipitation
Historical,rcp45,2000,565.3219256564928,617.7041337585013,639.9171053508169,Precipitation
Historical,rcp45,2001,603.0391638900923,540.0746343019488,617.2741240217651,Precipitation
Historical,rcp45,2002,492.35475213327584,556.7845021374371,599.3450303912589,Precipitation
Historical,rcp45,2003,564.3923040831775,598.2984293053224,551.38560646234,Precipitation
Historical,rcp45,2004,558.8143649241475,605.8298115217617,550.3632506951915,Precipitation
Historical,rcp45,2005,772.8915614959188,580.9859270240164,577.084543971181,Precipitation
Historical,rcp45,2006,640.6960749722889,562.6965786227312,567.5376190538507,Precipitation
Historical,rcp45,2007,368.1353296445492,543.9419992529458,582.4245012311658,Precipitation
Historical,rcp45,2008,472.94556207675146,555.8706586370397,546.1584246272217,Precipitation
Historical,rcp45,2009,465.04146807522045,529.2454265859395,542.208953934297,Precipitation
Historical,rcp45,2010,832.5348584163884,583.8630754383151,504.0823710649982,Precipitation
Historical,rcp45,2011,507.56991471678816,529.6202706317123,508.5429716771265,Precipitation
Historical,rcp45,2012,641.2235739064276,540.4759086156482,557.3403353901006,Precipitation
Historical,rcp45,2013,201.73153804373655,452.2940834929567,623.5014306482137,Precipitation
Historical,rcp45,2014,519.3196579949002,487.8405167683135,626.0204730308118,Precipitation
Historical,rcp45,2015,391.6257328029309,530.817595341886,581.8414458326854,Precipitation
Historical,rcp85,1981,685.302081093572,717.382590664715,596.4387303160686,Precipitation
Historical,rcp85,1982,856.1089667742899,711.5650374459753,583.8486102688635,Precipitation
Historical,rcp85,1983,1134.556514657882,711.3888081724141,608.9770573179471,Precipitation
Historical,rcp85,1984,490.2318919012022,705.0369438638236,596.4453244801723,Precipitation
Historical,rcp85,1985,390.7445864351243,636.879625195841,595.0195724520555,Precipitation
Historical,rcp85,1986,653.5427595506196,500.57152397117915,577.3321613406894,Precipitation
Historical,rcp85,1987,515.3223734343769,481.32561151436914,552.1344615552501,Precipitation
Historical,rcp85,1988,453.01600853457273,478.6503367316968,509.08576621016243,Precipitation
Historical,rcp85,1989,394.0023296171518,449.6273788175551,505.97792861626374,Precipitation
Historical,rcp85,1990,377.36821252176316,467.3892979146593,558.481034257475,Precipitation
Historical,rcp85,1991,508.42796997991104,517.6000084491458,579.8393471286938,Precipitation
Historical,rcp85,1992,604.1319689198979,530.6302457181584,583.0497363802173,Precipitation
Historical,rcp85,1993,704.0695612070049,638.3117317832532,633.002115663354,Precipitation
Historical,rcp85,1994,459.15351596221507,710.0513154398323,641.1283852763092,Precipitation
Historical,rcp85,1995,915.7756428472367,698.7101748457751,659.9237565897822,Precipitation
Historical,rcp85,1996,867.1258882628069,748.4042228775621,669.3848759808004,Precipitation
Historical,rcp85,1997,547.4262659496122,751.6265248344602,658.2071543021382,Precipitation
Historical,rcp85,1998,952.5398013659395,681.5357813963114,644.2394285897554,Precipitation
Historical,rcp85,1999,475.26502574670565,628.7184365217685,654.2055134859487,Precipitation
Historical,rcp85,2000,565.3219256564928,617.7041337585013,639.9171053508169,Precipitation
Historical,rcp85,2001,603.0391638900923,540.0746343019489,617.2741240217651,Precipitation
Historical,rcp85,2002,492.35475213327584,556.7845021374371,599.3450303912589,Precipitation
Historical,rcp85,2003,564.3923040831775,598.2984293053224,551.38560646234,Precipitation
Historical,rcp85,2004,558.8143649241475,605.8298115217617,550.3632506951915,Precipitation
Historical,rcp85,2005,772.8915614959188,580.9859270240164,577.084543971181,Precipitation
Historical,rcp85,2006,640.6960749722889,562.6965786227312,567.5376190538507,Precipitation
Historical,rcp85,2007,368.1353296445492,543.9419992529458,582.4245012311658,Precipitation
Historical,rcp85,2008,472.94556207675146,555.8706586370397,546.1584246272217,Precipitation
Historical,rcp85,2009,465.04146807522045,529.2454265859395,542.208953934297,Precipitation
Historical,rcp85,2010,832.5348584163884,583.8630754383153,504.0823710649982,Precipitation
Historical,rcp85,2011,507.56991471678816,529.6202706317123,NA,Precipitation
Historical,rcp85,2012,641.2235739064276,540.4759086156482,NA,Precipitation
Historical,rcp85,2013,201.73153804373655,452.2940834929567,NA,Precipitation
Historical,rcp85,2014,519.3196579949002,NA,NA,Precipitation
Historical,rcp85,2015,391.6257328029309,NA,NA,Precipitation
